first name,last name,pet1 type,pet1 age,pet1 gender,pet1 color1,pet1 color2,pet1 color3,pet2 type,pet2 age,pet2 gender,pet2 color1,pet2 color2,pet2 color3
Ced,Jenking,Marmota caligata,54,Female,Violet,Goldenrod,Aquamarine,Merops bullockoides,60,Male,Goldenrod,Green,Violet
Frankie,Marples,Gymnorhina tibicen,42,Male,Indigo,Red,Indigo,Funambulus pennati,77,Female,Goldenrod,Khaki,Blue
Arther,Roden,Zosterops pallidus,92,Male,Green,Khaki,Maroon,Damaliscus lunatus,93,Male,Teal,Mauv,Crimson
Jolee,Bloxholm,Terathopius ecaudatus,84,Female,Mauv,Aquamarine,Indigo,Marmota flaviventris,85,Female,Yellow,Violet,Fuscia
Pollyanna,Sprakes,Ara chloroptera,23,Female,Yellow,Puce,Yellow,Larus dominicanus,36,Female,Aquamarine,Purple,Blue
Crin,Crotty,Papilio canadensis,84,Female,Maroon,Purple,Fuscia,Vulpes chama,31,Female,Crimson,Green,Yellow
Scotty,Langfat,Dusicyon thous,72,Male,Crimson,Yellow,Puce,Megaderma spasma,72,Male,Aquamarine,Red,Violet
Electra,Luciani,Butorides striatus,2,Male,Green,Indigo,Yellow,Spermophilus richardsonii,3,Female,Blue,Red,Maroon
Roseann,Stidever,Ateles paniscus,93,Female,Red,Teal,Green,Bassariscus astutus,79,Female,Turquoise,Red,Crimson
Ayn,Guyonnet,Cyrtodactylus louisiadensis,13,Male,Goldenrod,Purple,Fuscia,Varanus salvator,78,Female,Aquamarine,Red,Yellow
Nonie,Bart,Spizaetus coronatus,99,Female,Fuscia,Khaki,Aquamarine,Acridotheres tristis,99,Female,Red,Khaki,Turquoise
Leland,Hanse,Aegypius tracheliotus,66,Female,Indigo,Purple,Maroon,Pytilia melba,3,Male,Aquamarine,Turquoise,Goldenrod
Bearnard,Christofol,Ratufa indica,30,Male,Khaki,Teal,Goldenrod,Boselaphus tragocamelus,28,Male,Khaki,Indigo,Indigo
